formation,origin/0/locationName,origin/0/crs,origin/0/via,origin/0/futureChangeTo,origin/0/assocIsCancelled,destination/0/locationName,destination/0/crs,destination/0/via,destination/0/futureChangeTo,destination/0/assocIsCancelled,currentOrigins,currentDestinations,rsid,serviceIdPercentEncoded,serviceIdGuid,serviceIdUrlSafe,sta,eta,std,etd,platform,operator,operatorCode,isCircularRoute,isCancelled,filterLocationCancelled,serviceType,length,detachFront,isReverseFormation,cancelReason,delayReason,serviceID,adhocAlerts
,London Waterloo,WAT,,,false,Portsmouth & Southsea,PMS,,,false,,,SW722700,SAR6xC13GXKCZl8LtoRWtA%3D%3D,c47a0448-772d-7219-8266-5f0bb68456b4,SAR6xC13GXKCZl8LtoRWtA,,,10:45,On time,10,South Western Railway,SW,false,false,false,0,0,false,false,,,SAR6xC13GXKCZl8LtoRWtA==,
,London Waterloo,WAT,,,false,Chessington South,CSS,,,false,,,SW765900,hlucWI5Jljmz%2BSUbrEzaaw%3D%3D,589c5b86-498e-3996-b3f9-251bac4cda6b,hlucWI5Jljmz-SUbrEzaaw,,,10:47,On time,4,South Western Railway,SW,false,false,false,0,0,false,false,,,hlucWI5Jljmz+SUbrEzaaw==,
,London Waterloo,WAT,,,false,Reading,RDG,,,false,,,SW860800,mQPROW5%2BbFFkUGKwXJdOkg%3D%3D,39d10399-7e6e-516c-6450-62b05c974e92,mQPROW5-bFFkUGKwXJdOkg,,,10:50,On time,23,South Western Railway,SW,false,false,false,0,0,false,false,,,mQPROW5+bFFkUGKwXJdOkg==,
,London Waterloo,WAT,,,false,Woking,WOK,,,false,,,SW014800,6IB5gzoGmZJVkW3cWiiQTQ%3D%3D,837980e8-063a-9299-5591-6ddc5a28904d,6IB5gzoGmZJVkW3cWiiQTQ,,,10:50,On time,3,South Western Railway,SW,false,false,false,0,0,false,false,,,6IB5gzoGmZJVkW3cWiiQTQ==,
,London Waterloo,WAT,,,false,Addlestone,ASN,,,false,,,SW818300,xQ8EnoakA9yP5TfoGXX0Wg%3D%3D,9e040fc5-a486-dc03-8fe5-37e81975f45a,xQ8EnoakA9yP5TfoGXX0Wg,,,10:52,On time,24,South Western Railway,SW,false,false,false,0,0,false,false,,,xQ8EnoakA9yP5TfoGXX0Wg==,
,London Waterloo,WAT,,,false,Alton,AON,,,false,,,SW522700,FIUwUtqosPcpjKukr5SOVQ%3D%3D,52308514-a8da-f7b0-298c-aba4af948e55,FIUwUtqosPcpjKukr5SOVQ,,,10:53,On time,16,South Western Railway,SW,false,false,false,0,0,false,false,,,FIUwUtqosPcpjKukr5SOVQ==,
,London Waterloo,WAT,,,false,Guildford,GLD,via Epsom,,false,,,SW867100,0a5F8qavSi4GV9ACteSoMA%3D%3D,f245aed1-afa6-2e4a-0657-d002b5e4a830,0a5F8qavSi4GV9ACteSoMA,,,10:54,On time,1,South Western Railway,SW,false,false,false,0,0,false,false,,,0a5F8qavSi4GV9ACteSoMA==,
,London Waterloo,WAT,,,false,Strawberry Hill,STW,,,false,,,SW755800,AC36%2BnQ3kmeQ2VVHp%2BVuTA%3D%3D,fafa2d00-3774-6792-90d9-5547a7e56e4c,AC36-nQ3kmeQ2VVHp-VuTA,,,10:57,On time,,South Western Railway,SW,false,false,false,0,0,false,false,,,AC36+nQ3kmeQ2VVHp+VuTA==,
,London Waterloo,WAT,,,false,Windsor & Eton Riverside,WNR,,,false,,,SW886500,yVYeLGMVWViOBJhf4iK3sA%3D%3D,2c1e56c9-1563-5859-8e04-985fe222b7b0,yVYeLGMVWViOBJhf4iK3sA,,,10:58,On time,,South Western Railway,SW,false,false,false,0,0,false,false,,,yVYeLGMVWViOBJhf4iK3sA==,
,London Waterloo,WAT,,,false,Haslemere,HSL,,,false,,,SW812900,rX7FMCrr%2FAAveLc1VKR3UA%3D%3D,30c57ead-eb2a-00fc-2f78-b73554a47750,rX7FMCrr_AAveLc1VKR3UA,,,11:00,On time,12,South Western Railway,SW,false,false,false,0,0,false,false,,,rX7FMCrr/AAveLc1VKR3UA==,
